p_warn;dens;dscr;val
75;sim_45;sum_trltls;858
75;sim_45;ticks;80
75;sim_45;sum_newip;12
75;sim_45;sum_trltls;858
75;sim_45;ticks;16
75;sim_45;sum_newip;177
75;sim_45;sum_trltls;858
75;sim_45;ticks;116
75;sim_45;sum_newip;317
75;sim_45;sum_trltls;858
75;sim_45;ticks;225
75;sim_45;sum_newip;33
75;sim_45;sum_trltls;858
75;sim_45;ticks;52
75;sim_45;sum_newip;27
75;sim_45;sum_trltls;858
75;sim_45;ticks;35
75;sim_45;sum_newip;356
75;sim_45;sum_trltls;858
75;sim_45;ticks;288
75;sim_45;sum_newip;126
75;sim_45;sum_trltls;858
75;sim_45;ticks;74
75;sim_45;sum_newip;65
75;sim_45;sum_trltls;858
75;sim_45;ticks;47
75;sim_45;sum_newip;141
75;sim_45;sum_trltls;858
75;sim_45;ticks;127
75;sim_45;sum_newip;468
75;sim_45;sum_trltls;858
75;sim_45;ticks;229
75;sim_45;sum_newip;277
75;sim_45;sum_trltls;858
75;sim_45;ticks;193
75;sim_45;sum_newip;246
75;sim_45;sum_trltls;858
75;sim_45;ticks;169
75;sim_45;sum_newip;10
75;sim_45;sum_trltls;858
75;sim_45;ticks;18
75;sim_45;sum_newip;304
75;sim_45;sum_trltls;858
75;sim_45;ticks;176
75;sim_45;sum_newip;457
75;sim_45;sum_trltls;858
75;sim_45;ticks;311
75;sim_45;sum_newip;43
75;sim_45;sum_trltls;858
75;sim_45;ticks;37
75;sim_45;sum_newip;268
75;sim_45;sum_trltls;858
75;sim_45;ticks;178
75;sim_45;sum_newip;27
75;sim_45;sum_trltls;858
75;sim_45;ticks;28
75;sim_45;sum_newip;413
75;sim_45;sum_trltls;858
75;sim_45;ticks;292
75;sim_45;sum_newip;125
75;sim_45;sum_trltls;858
75;sim_45;ticks;103
75;sim_45;sum_newip;352
75;sim_45;sum_trltls;858
75;sim_45;ticks;232
75;sim_45;sum_newip;145
75;sim_45;sum_trltls;858
75;sim_45;ticks;118
75;sim_45;sum_newip;17
75;sim_45;sum_trltls;858
75;sim_45;ticks;25
75;sim_45;sum_newip;384
75;sim_45;sum_trltls;858
75;sim_45;ticks;212
75;sim_45;sum_newip;279
75;sim_45;sum_trltls;858
75;sim_45;ticks;197
75;sim_45;sum_newip;318
75;sim_45;sum_trltls;858
75;sim_45;ticks;210
75;sim_45;sum_newip;58
75;sim_45;sum_trltls;858
75;sim_45;ticks;80
75;sim_45;sum_newip;201
75;sim_45;sum_trltls;858
75;sim_45;ticks;159
0;sim_30;sum_newip;4717
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
0;sim_30;sum_newip;4783
0;sim_30;sum_trltls;858
0;sim_30;ticks;365
